id,class,reactants>reagents>production
RXN-7633,PWY-5049,[C:14]([C@@H:13]([CH2:17][C:18]1=[CH:24][C:23]([OH:25])=[C:21]([OH:22])[CH:20]=[CH:19]1)[OH:12])(=[O:16])[O-:15].[CH3:27][C:28]([CH3:29])([C@@H:30]([OH:31])[C:32](=[O:33])[NH:34][CH2:35][CH2:36][C:37](=[O:38])[NH:39][CH2:40][CH2:41][S:42][C:1](=[O:26])/[CH:2]=[CH:3]/[C:4]1=[CH:10][CH:9]=[C:7]([OH:8])[C:6]([OH:11])=[CH:5]1)[CH2:43][O:44][P:45](=[O:46])([O:47][P:48](=[O:49])([O:50][CH2:51][C@@H:52]1[C@@H:56]([O:57][P:58]([O-:59])(=[O:60])[O-:61])[C@@H:55]([OH:62])[C@H:54]([N:63]2[C:64]3=[C:69]([C:68]([NH2:72])=[N:67][CH:66]=[N:65]3)/[N:70]=[CH:71]\2)[O:53]1)[O-:73])[O-:74]>>[C:1](/[CH:2]=[CH:3]/[C:4]1=[CH:10][CH:9]=[C:7]([OH:8])[C:6]([OH:11])=[CH:5]1)([O:12][C@@H:13]([C:14]([O-:15])=[O:16])[CH2:17][C:18]1=[CH:24][C:23]([OH:25])=[C:21]([OH:22])[CH:20]=[CH:19]1)=[O:26].[CH3:27][C:28]([CH3:29])([C@@H:30]([OH:31])[C:32](=[O:33])[NH:34][CH2:35][CH2:36][C:37](=[O:38])[NH:39][CH2:40][CH2:41][SH:42])[CH2:43][O:44][P:45](=[O:46])([O:47][P:48](=[O:49])([O:50][CH2:51][C@H:52]1[O:53][C@@H:54]([N:63]2[C:64]3=[C:69]([C:68]([NH2:72])=[N:67][CH:66]=[N:65]3)/[N:70]=[CH:71]\2)[C@H:55]([OH:62])[C@@H:56]1[O:57][P:58]([O-:59])(=[O:60])[O-:61])[O-:73])[O-:74]
RXN-18200,PWYQT-4450,[CH3:1][S:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH:10]([CH:11]([OH:12])[C:13](=[O:14])[O-:15])[C:16](=[O:17])[O-:18].[CH:19]1=[N+:20]([C@@H:28]2[O:29][C@H:30]([CH2:31][O:32][P:33](=[O:34])([O-:35])[O:36][P:37](=[O:38])([O-:39])[O:40][CH2:41][C@H:42]3[O:43][C@@H:44]([N:49]4/[CH:50]=[N:51]\[C:52]5=[C:58]4[N:57]=[CH:56][N:55]=[C:53]5[NH2:54])[C@H:45]([OH:46])[C@@H:47]3[OH:48])[C@@H:59]([OH:60])[C@H:61]2[OH:62])[CH:21]=[CH:22][CH:23]=[C:24]1[C:25]([NH2:26])=[O:27]>>[CH3:1][S:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH:10]([C:11](=[O:12])[C:13](=[O:14])[O-:15])[C:16](=[O:17])[O-:18].[CH:19]1=[C:24]([C:25]([NH2:26])=[O:27])[CH2:23][CH:22]=[CH:21][N:20]1[C@@H:28]1[O:29][C@H:30]([CH2:31][O:32][P:33](=[O:34])([O-:35])[O:36][P:37](=[O:38])([O-:39])[O:40][CH2:41][C@H:42]2[O:43][C@@H:44]([N:49]3/[CH:50]=[N:51]\[C:52]4=[C:58]3[N:57]=[CH:56][N:55]=[C:53]4[NH2:54])[C@H:45]([OH:46])[C@@H:47]2[OH:48])[C@@H:59]([OH:60])[C@H:61]1[OH:62].[H+:63]
RXN-10457,PWY-6220,[CH3:1][CH2:2]/[CH:3]=[CH:4]\[CH2:5][CH:6]1[C:7](=[O:8])[CH2:9][CH2:10][CH:11]1[CH2:12][C:13]([O-:52])=[O:22].[CH3:17][CH:16]([CH3:18])[C@H:15]([NH3+:14])[C:19]([O-:20])=[O:21].[CH2:23]([C@@H:24]1[C@@H:25]([OH:40])[C@@H:26]([OH:39])[C@H:27]([N:28]2[C:29]3=[C:34]([C:33]([NH2:37])=[N:32][CH:31]=[N:30]3)/[N:35]=[CH:36]\2)[O:38]1)[O:41][P:42]([O-:43])(=[O:45])[O:44][P:47]([O-:48])(=[O:46])[O:49][P:50]([O-:51])(=[O:53])[O-:54]>>[CH3:1][CH2:2]/[CH:3]=[CH:4]\[CH2:5][CH:6]1[C:7](=[O:8])[CH2:9][CH2:10][CH:11]1[CH2:12][C:13]([NH:14][C@@H:15]([CH:16]([CH3:17])[CH3:18])[C:19]([O-:20])=[O:21])=[O:22].[CH2:23]([C@@H:24]1[C@@H:25]([OH:40])[C@@H:26]([OH:39])[C@H:27]([N:28]2[C:29]3=[C:34]([C:33]([NH2:37])=[N:32][CH:31]=[N:30]3)/[N:35]=[CH:36]\2)[O:38]1)[O:41][P:42]([O-:43])([O-:44])=[O:45].[O:46]=[P:47]([OH:48])([O:49][P:50]([O-:51])([O-:52])=[O:53])[O-:54].[H+:55]
RXN-11414,PWY-1187,[CH3:1][S:2][CH2:3][CH2:4][CH2:5]/[CH:6]=[N:7]/[OH:9].[O:8]=[O:10]>>[CH3:1][S:2][CH2:3][CH2:4][CH2:5][CH:6]=[N+:7]([OH:8])[O-:9].[OH2:10]
RXN-8215,PWY-5288,[CH3:1][C:2](/[CH:3]=[CH:4]/[CH:5]=[C:6]([CH3:7])/[CH:8]=[CH:9]/[C:10]1=[C:15]([CH3:16])[CH2:14][CH2:13][CH2:12][C:11]1([CH3:18])[CH3:19])=[CH:20]\[CH:21]=[CH:22]\[CH:23]=[C:24]([CH3:25])\[CH:26]=[CH:27]\[CH:28]=[C:29]([CH3:30])\[CH:31]=[CH:32]\[C:33]1=[C:38]([CH3:39])[C:37](=[O:40])[C@@H:36]([OH:41])[CH2:35][C:34]1([CH3:42])[CH3:43].[O:44]=[O:17]>>[CH3:1][C:2](/[CH:3]=[CH:4]/[CH:5]=[C:6]([CH3:7])/[CH:8]=[CH:9]/[C:10]1=[C:15]([CH3:16])[C:14](=[O:17])[CH2:13][CH2:12][C:11]1([CH3:18])[CH3:19])=[CH:20]\[CH:21]=[CH:22]\[CH:23]=[C:24]([CH3:25])\[CH:26]=[CH:27]\[CH:28]=[C:29]([CH3:30])\[CH:31]=[CH:32]\[C:33]1=[C:38]([CH3:39])[C:37](=[O:40])[C@@H:36]([OH:41])[CH2:35][C:34]1([CH3:42])[CH3:43].[OH2:44]
RXN-8567,PWY-5426,[CH3:2][O:3][C:4]1=[C:5]([OH:6])[CH:7]=[CH:8][C:9]([CH2:10][CH2:11][NH3+:12])=[CH:27]1.[CH:13](/[CH:14]=[C:15]1/[CH2:16][C@@H:17]([C:24]([O-:25])=[O:26])[NH:18][C:19]([C:20](=[O:21])[O-:22])=[CH:23]1)=[O:28]>>[H+:1].[CH3:2][O:3][C:4]1=[CH:27][C:9]([CH2:10][CH2:11]/[N:12]=[CH:13]\[CH:14]=[C:15]2\[CH2:16][C@@H:17]([C:24]([O-:25])=[O:26])[NH:18][C:19]([C:20](=[O:21])[O-:22])=[CH:23]2)=[CH:8][CH:7]=[C:5]1[OH:6].[OH2:28]
RXN-14434,PWY-7256,[CH2:1]([OH:2])[C@@H:3]1[C@@H:4]([OH:43])[C@H:5]([OH:6])[C@@H:7]([OH:8])[C@H:9]([O:11][C:12]2=[CH:21][C:20]3=[C:15]([O-:42])[CH:16]=[C:17]([O-:53])[CH:18]=[C:22]3[O+:19]=[C:13]2[C:14]2=[CH:28][CH:27]=[C:25]([OH:26])[C:24]([OH:29])=[CH:23]2)[O:10]1.[CH2:31]([C@H:32]1[O:33][C@@H:38]([O:39][C:44](=[O:52])[C:45]2=[CH:51][CH:50]=[C:48]([OH:49])[CH:47]=[CH:46]2)[C@H:37]([OH:40])[C@@H:35]([OH:36])[C@@H:34]1[OH:41])[OH:30]>>[CH2:1]([OH:2])[C@@H:3]1[C@@H:4]([OH:43])[C@H:5]([OH:6])[C@@H:7]([OH:8])[C@H:9]([O:11][C:12]2=[CH:21]\[C:20]3=[C:15](\[C:14]([O-:42])=[CH:13]/2)[CH:16]=[C:17]([O:30][C@H:31]2[C@H:32]([OH:33])[C@@H:34]([OH:41])[C@H:35]([OH:36])[C@@H:37]([CH2:38][OH:39])[O:40]2)[C:18]([C:22]2=[CH:28][CH:27]=[C:25]([OH:26])[C:24]([OH:29])=[CH:23]2)=[O+:19]3)[O:10]1.[C:44]([C:45]1=[CH:51][CH:50]=[C:48]([OH:49])[CH:47]=[CH:46]1)(=[O:52])[O-:53]
SINAPINE-ESTERASE-RXN,PWY-3301,[OH2:23].[CH2:2]([CH2:3][O:4][C:22](=[O:24])/[CH:21]=[CH:20]/[C:13]1=[CH:12][C:11]([O:10][CH3:9])=[C:16]([OH:17])[C:15]([O:18][CH3:19])=[CH:14]1)[N+:5]([CH3:6])([CH3:7])[CH3:8]>>[H+:1].[CH2:2]([CH2:3][OH:4])[N+:5]([CH3:6])([CH3:7])[CH3:8].[CH3:9][O:10][C:11]1=[C:16]([OH:17])[C:15]([O:18][CH3:19])=[CH:14][C:13](/[CH:20]=[CH:21]/[C:22]([O-:23])=[O:24])=[CH:12]1
RXN-19973,PWY-5292,[CH3:1][CH2:2][C:3]1=[CH:8][NH+:7]2[CH2:6][CH2:5][C@@H:4]1[C@@:20]([C:21](=[O:22])[O:23][CH3:24])([CH2:25][O:28][C:27]([CH3:26])=[O:29])/[C:19]1=[C:11](\[CH2:10][CH2:9]2)[C:12]2=[C:17]([CH:16]=[CH:15][CH:14]=[CH:13]2)[NH:18]1>>[CH3:1][CH2:2][C:3]1=[CH:8][NH+:7]([CH2:9][CH2:10]/[C:11]2=[C:19](\[C:20]([C:21](=[O:22])[O:23][CH3:24])=[CH2:25])[NH:18][C:17]3=[C:12]2[CH:13]=[CH:14][CH:15]=[CH:16]3)[CH2:6][CH:5]=[CH:4]1.[CH3:26][C:27]([O-:28])=[O:29].[H+:30]
RXN-8511,PWY-5412,[CH3:1]/[C:2]([CH2:19][CH2:18][C@@H:17]1[C@@:16]2([CH3:20])[CH2:15][CH2:14][CH2:13][C:10]([CH3:11])([CH3:3])[C@@H:9]2[CH2:8][CH2:7][C:6]1=[CH2:5])=[CH:4]\[CH2:12][O:29][P:22]([O-:23])(=[O:21])[O:24][P:25]([O-:26])([O-:27])=[O:28]>>[CH3:1][CH:2]([CH3:3])[C:4]1=[CH:19][CH2:18][C@H:17]2[C:6](=[CH:5]1)[CH2:7][CH2:8][C@H:9]1[C:10]([CH3:11])([CH3:12])[CH2:13][CH2:14][CH2:15][C@@:16]12[CH3:20].[O:21]=[P:22]([OH:23])([O:24][P:25]([O-:26])([O-:27])=[O:28])[O-:29]
