ID,PATHWAYS,SECONDARY-METABOLISM,REACTANTS,PRODUCTS,REACTION-DIRECTION
RXN-10938,UNK,False,"1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH, WATER","CPD-177, Pi",LEFT-TO-RIGHT
RXN-12991,UNK,False,"CPD-14037, PROTON","CPDQT-262, WATER, CARBON-DIOXIDE",
RXN-19953,UNK,False,"Reduced-Cys2-Peroxiredoxins, Alkyl-Hydro-Peroxides","2Cys-Peroxiredoxins-With-HydroxyCys, Alcohols",LEFT-TO-RIGHT
RXN-7633,PWY-5049,True,"CPD-6982, CAFFEOYL-COA","CPD-6981, CO-A",LEFT-TO-RIGHT
RXN-18200,PWYQT-4450,True,"CPDQT-40, NAD","CPD-19487, NADH, PROTON",LEFT-TO-RIGHT
RXN-10457,PWY-6220,True,"Jasmonic-Acids, VAL, ATP","Jasmonoyl-Valines, AMP, PPI, PROTON",LEFT-TO-RIGHT
RXN-9963,PWY-6128,False,FARNESYL-PP,"CPD-10708, PPI",LEFT-TO-RIGHT
RXN-11414,PWY-1187,True,"3-METHYLTHIOPROPANALDOXIME, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","CPD-12389, WATER, Ox-NADPH-Hemoprotein-Reductases",LEFT-TO-RIGHT
RXN-8215,PWY-5288,True,"CPD-7860, OXYGEN-MOLECULE, Donor-H2","CPD-7849, WATER, Acceptor",LEFT-TO-RIGHT
1.2.1.1-RXN,UNK,False,"FORMALDEHYDE, GLUTATHIONE, NAD, NAD, GLUTATHIONE, FORMALDEHYDE","PROTON, NADH, CPD-548, CPD-548, NADH, PROTON",
RXN-18725,PWY-7897,False,"CPD-12575, CPD-20010","CPD-20011, UDP, PROTON",LEFT-TO-RIGHT
RXN-7739,PWY-5098,False,"CHLOROPHYLLIDE-A, PROTON","CPD-7061, MG+2",LEFT-TO-RIGHT
RXN-8567,PWY-5426,True,"CPD-7650, CPD-8651","PROTON, CPD-8757, WATER",LEFT-TO-RIGHT
N-ACETYLTRANSFER-RXN,GLUTORN-PWY,False,"GLT, ACETYL-COA","CO-A, ACETYL-GLU, PROTON",LEFT-TO-RIGHT
RXN-13192,UNK,False,"FLAVANONES, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","3-5-Dihydroxy-Flavanones, WATER, Ox-NADPH-Hemoprotein-Reductases",LEFT-TO-RIGHT
RXN-8172,PWY-7861,False,"PROTON, DELTA1-PIPERIDEINE-2-CARBOXYLATE, WATER",2-KETO-6-AMINO-CAPROATE,LEFT-TO-RIGHT
RXN-172,PWY-762,False,"CPD-482, 2-KETOGLUTARATE, OXYGEN-MOLECULE","PROTON, CPD-498, SUC, CARBON-DIOXIDE, WATER",LEFT-TO-RIGHT
RXN-13600,PWY-7089,False,"CPD-1103, WATER","4-HYDROXYBENZALDEHYDE, HCN, Glucopyranose",LEFT-TO-RIGHT
RXN-14434,PWY-7256,True,"CPD1F-766, CPD-15283","CPD-15005, 4-hydroxybenzoate",LEFT-TO-RIGHT
RXN3O-218,PWY-2541,False,"EPISTEROL, OXYGEN-MOLECULE, FERROCYTOCHROME-B5, PROTON","CPD-700, WATER, FERRICYTOCHROME-B5",LEFT-TO-RIGHT
RXN-3167,PWY-1921,False,"5-O-INDOL-3-YLACETYL-MYO-ETCETERA, WATER","CPD-165, D-galactopyranose",LEFT-TO-RIGHT
