ID,PATHWAYS,SECONDARY-METABOLISM,REACTANTS,PRODUCTS,REACTION-SMILES,REACTION-DIRECTION
RXN-12991,UNK,False,CSCCCCCCCC[C@H](N(O)O)C(=O)[O-].[H+],C(/CCCCCCCCSC)=N\O.O.C(=O)=O,CSCCCCCCCC[C@H](N(O)O)C(=O)[O-].[H+]>>C(/CCCCCCCCSC)=N\O.O.C(=O)=O,
RXN-7633,PWY-5049,True,C([C@@H](CC1(\C=C/C(/O)=C(\C=1)/O))O)(=O)[O-].CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/C1(/C=C(C(/O)=C\C=1)/O))COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-],C(/C=C/C1(/C=C(C(/O)=C\C=1)/O))(O[C@@H](C([O-])=O)CC2(\C=C/C(/O)=C(\C=2)/O))=O.CC(C)([C@@H](O)C(=O)NCCC(=O)NCCS)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],C([C@@H](CC1(\C=C/C(/O)=C(\C=1)/O))O)(=O)[O-].CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/C1(/C=C(C(/O)=C\C=1)/O))COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]>>C(/C=C/C1(/C=C(C(/O)=C\C=1)/O))(O[C@@H](C([O-])=O)CC2(\C=C/C(/O)=C(\C=2)/O))=O.CC(C)([C@@H](O)C(=O)NCCC(=O)NCCS)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],LEFT-TO-RIGHT
RXN-18200,PWYQT-4450,True,CSCCCCCCCC(C(O)C(=O)[O-])C(=O)[O-].C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))[C@@H](O)[C@@H](O)4))=5),CSCCCCCCCC(C(=O)C(=O)[O-])C(=O)[O-].C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=N/C4(C(/N)=N\C=N/C3=4))))[C@@H](O)[C@@H](O)5)).[H+],CSCCCCCCCC(C(O)C(=O)[O-])C(=O)[O-].C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))[C@@H](O)[C@@H](O)4))=5)>>CSCCCCCCCC(C(=O)C(=O)[O-])C(=O)[O-].C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=N/C4(C(/N)=N\C=N/C3=4))))[C@@H](O)[C@@H](O)5)).[H+],LEFT-TO-RIGHT
RXN-10457,PWY-6220,True,CC\C=C/CC1(C(=O)CCC1CC([O-])=O).CC(C)[C@H]([NH3+])C([O-])=O.C([C@@H]3([C@H]([C@H]([C@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))O3)O)O))OP([O-])(=O)OP([O-])(=O)OP([O-])(=O)[O-],CC\C=C/CC1(C(=O)CCC1CC(N[C@@H](C(C)C)C([O-])=O)=O).C([C@@H]3([C@H]([C@H]([C@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))O3)O)O))OP([O-])([O-])=O.O=P(O)(OP([O-])([O-])=O)[O-].[H+],CC\C=C/CC1(C(=O)CCC1CC([O-])=O).CC(C)[C@H]([NH3+])C([O-])=O.C([C@@H]3([C@H]([C@H]([C@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))O3)O)O))OP([O-])(=O)OP([O-])(=O)OP([O-])(=O)[O-]>>CC\C=C/CC1(C(=O)CCC1CC(N[C@@H](C(C)C)C([O-])=O)=O).C([C@@H]3([C@H]([C@H]([C@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))O3)O)O))OP([O-])([O-])=O.O=P(O)(OP([O-])([O-])=O)[O-].[H+],LEFT-TO-RIGHT
RXN-9963,PWY-6128,False,CC(C)=CCCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)[O-])(=O)[O-],CC(C)[C@@H]2(C1(\[C@@H](CCC(\C=1)=C)[C@H](C)CC2)).O=P(O)(OP([O-])([O-])=O)[O-],CC(C)=CCCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)[O-])(=O)[O-]>>CC(C)[C@@H]2(C1(\[C@@H](CCC(\C=1)=C)[C@H](C)CC2)).O=P(O)(OP([O-])([O-])=O)[O-],LEFT-TO-RIGHT
RXN-11414,PWY-1187,True,CSCCC/C=N/O.O=O,CSCCCC=[N+](O)[O-].O,CSCCC/C=N/O.O=O>>CSCCCC=[N+](O)[O-].O,LEFT-TO-RIGHT
RXN-8215,PWY-5288,True,CC(/C=C/C=C(C)/C=C/C1(/C(CCCC(/C)=1)(C)C))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C[C@@H](C(C(/C)=2)=O)O)(C)C).O=O,CC(/C=C/C=C(C)/C=C/C1(/C(CCC(C(/C)=1)=O)(C)C))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C[C@@H](C(C(/C)=2)=O)O)(C)C).O,CC(/C=C/C=C(C)/C=C/C1(/C(CCCC(/C)=1)(C)C))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C[C@@H](C(C(/C)=2)=O)O)(C)C).O=O>>CC(/C=C/C=C(C)/C=C/C1(/C(CCC(C(/C)=1)=O)(C)C))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C[C@@H](C(C(/C)=2)=O)O)(C)C).O,LEFT-TO-RIGHT
1.2.1.1-RXN,UNK,False,C=O.C(S)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O.C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))[C@@H](O)[C@@H](O)4))=5).C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))[C@@H](O)[C@@H](O)4))=5).C(S)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O.C=O,[H+].C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=N/C4(C(/N)=N\C=N/C3=4))))[C@@H](O)[C@@H](O)5)).C(NC(=O)[C@H](CSC=O)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-].C(NC(=O)[C@H](CSC=O)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-].C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=N/C4(C(/N)=N\C=N/C3=4))))[C@@H](O)[C@@H](O)5)).[H+],C=O.C(S)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O.C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))[C@@H](O)[C@@H](O)4))=5).C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))[C@@H](O)[C@@H](O)4))=5).C(S)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O.C=O>>[H+].C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=N/C4(C(/N)=N\C=N/C3=4))))[C@@H](O)[C@@H](O)5)).C(NC(=O)[C@H](CSC=O)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-].C(NC(=O)[C@H](CSC=O)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-].C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=N/C4(C(/N)=N\C=N/C3=4))))[C@@H](O)[C@@H](O)5)).[H+],
RXN-18725,PWY-7897,False,C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=C/C(=O)NC(=O)3)))([O-])=O).C(O)[C@@H]3([C@@H](O)[C@H](O)[C@@H](O)[C@H](C1(/C(/O)=C\C(\O)=C(C(/O)=1)\C(=O)CCC2(\C=C/C(/O)=C\C=2)))O3),C(O)[C@@H]4([C@@H](O)[C@H](O)[C@@H](O)[C@H](C2(/C(/O)=C(C(/O)=C([C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))\C(\O)=2)/C(=O)CCC3(\C=C/C(/O)=C\C=3)))O4).C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=C/C(=O)NC(=O)2)).[H+],C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=C/C(=O)NC(=O)3)))([O-])=O).C(O)[C@@H]3([C@@H](O)[C@H](O)[C@@H](O)[C@H](C1(/C(/O)=C\C(\O)=C(C(/O)=1)\C(=O)CCC2(\C=C/C(/O)=C\C=2)))O3)>>C(O)[C@@H]4([C@@H](O)[C@H](O)[C@@H](O)[C@H](C2(/C(/O)=C(C(/O)=C([C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))\C(\O)=2)/C(=O)CCC3(\C=C/C(/O)=C\C=3)))O4).C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=C/C(=O)NC(=O)2)).[H+],LEFT-TO-RIGHT
RXN-7739,PWY-5098,False,C=CC4(\C(/C)=C5(\C=C7([C@@H](C)[C@H](CCC(=O)[O-])C(\C6(/[C@@H-](C(OC)=O)C(=O)C1(\C(\N2([Mg]N(C(/C=C3(C(/C)=C(CC)/C(\C=C(C(\C)=1)/2)=N3))=4)5))=6)))=N7))).[H+],C=CC1(\C3(\NC(/C(\C)=1)=C/C2([C@@H](C)[C@H](CCC(=O)[O-])C(\N=2)=C5([C-](C(OC)=O)C(=O)C6(\C(/C)=C(\C=C4(C(/CC)=C(C)/C(\C=3)=N\4))/NC/5=6))))).[Mg+2],C=CC4(\C(/C)=C5(\C=C7([C@@H](C)[C@H](CCC(=O)[O-])C(\C6(/[C@@H-](C(OC)=O)C(=O)C1(\C(\N2([Mg]N(C(/C=C3(C(/C)=C(CC)/C(\C=C(C(\C)=1)/2)=N3))=4)5))=6)))=N7))).[H+]>>C=CC1(\C3(\NC(/C(\C)=1)=C/C2([C@@H](C)[C@H](CCC(=O)[O-])C(\N=2)=C5([C-](C(OC)=O)C(=O)C6(\C(/C)=C(\C=C4(C(/CC)=C(C)/C(\C=3)=N\4))/NC/5=6))))).[Mg+2],LEFT-TO-RIGHT
