Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,200,6466.9623,1982.2313,345.5561,534.0173,3605.1576
1,400,5995.8362,1671.9677,321.1539,517.9217,3484.793
2,600,5721.1273,1494.9763,297.0718,485.6878,3443.3914
3,800,5565.4809,1377.477,295.4177,479.0323,3413.5539
3,1000,5344.6979,1285.4027,279.5109,453.0065,3326.7778
4,1200,5214.7361,1224.4124,268.3931,439.7962,3282.1343
5,1400,5271.067,1207.5383,276.6596,449.9006,3336.9685
6,1600,5089.8416,1149.0148,262.8761,426.4426,3251.5081
7,1800,5146.1118,1153.5004,264.8699,433.8435,3293.898
7,2000,5076.985,1123.9455,260.7951,430.1455,3262.0989
8,2200,5000.1512,1097.9789,256.6821,416.4126,3229.0776
9,2400,4994.457,1080.5971,249.1636,414.0578,3250.6385
10,2600,4841.8622,1052.5104,245.4644,403.6553,3140.2321
11,2800,4938.5071,1058.6778,249.8788,400.9025,3229.048
11,3000,4942.4878,1045.4431,248.4028,408.8022,3239.8398
12,3200,4806.7729,1022.109,237.2113,391.7892,3155.6635
13,3400,4929.7453,1034.5126,245.6895,405.9838,3243.5595
14,3600,4759.3281,996.4754,234.717,386.1545,3141.9812
15,3800,4868.2861,1015.488,236.9244,391.9625,3223.9111
15,4000,4828.4747,1006.0337,233.4787,385.9797,3202.9827
16,4200,4779.1031,988.9412,233.9583,386.5257,3169.6779
17,4400,4717.7115,968.3397,225.734,373.7408,3149.8971
18,4600,4679.3576,962.2023,219.1172,365.6204,3132.4177
19,4800,4694.1174,962.3586,226.8178,374.0407,3130.9002
19,5000,4739.941,965.0364,226.4863,372.4049,3176.0134
20,5200,4655.0148,946.9418,220.0589,365.8717,3122.1425
21,5400,4615.8399,941.6683,210.3065,349.0518,3114.8133
22,5600,4626.4527,934.5628,225.0597,367.4905,3099.3398
23,5800,4671.6597,939.6883,221.7205,361.1188,3149.1321
23,6000,4610.6185,931.5433,215.6793,355.4931,3107.9027
24,6200,4629.3628,929.0914,217.6022,358.633,3124.0362
25,6400,4572.4803,913.1015,209.9484,343.0232,3106.4072
26,6600,4562.0715,913.7583,212.9742,352.1467,3083.1923
27,6800,4557.2426,906.3121,209.6941,348.6874,3092.5491
27,7000,4520.7534,902.1341,206.9386,344.7316,3066.9491
28,7200,4527.4938,897.4664,210.42,347.8291,3071.7784
29,7400,4597.3282,911.8209,206.0663,337.9842,3141.4568
30,7600,4498.0018,890.4542,210.046,340.8704,3056.6312
31,7800,4498.9323,888.8391,204.3049,339.6118,3066.1766
31,8000,4568.9831,902.8414,202.9366,335.6831,3127.522
32,8200,4492.5789,883.5759,203.5588,337.5151,3067.9291
33,8400,4546.1794,891.3583,202.4228,337.1586,3115.2397
34,8600,4446.7974,878.9061,195.8964,322.0992,3049.8957
35,8800,4497.2268,884.3773,200.5762,329.062,3083.2113
35,9000,4427.2819,867.5586,195.9662,321.5462,3042.211
36,9200,4475.9046,876.0386,197.7497,329.9361,3072.1801
