Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,1600200,4590.1495,911.7192,290.0034,464.4992,2923.9278
1,1600400,4445.8349,868.0899,258.4793,418.4745,2900.7912
2,1600600,4422.0499,853.4019,249.6055,399.9967,2919.0458
3,1600800,4377.9178,852.2161,238.482,385.0427,2902.1771
3,1601000,4280.867,830.4644,232.1087,373.9426,2844.3514
4,1601200,4243.3425,823.8563,224.9575,362.2591,2832.2695
5,1601400,4272.8312,831.5167,218.0287,353.0755,2870.2103
6,1601600,4286.7967,829.4117,222.694,358.3309,2876.3602
7,1601800,4171.5662,807.6043,212.4313,340.3163,2811.2144
7,1602000,4324.2464,840.9792,214.0312,346.5366,2922.6993
8,1602200,4153.2581,807.9939,208.6251,331.2477,2805.3913
9,1602400,4260.1823,824.3952,208.2217,336.005,2891.5605
10,1602600,4048.5464,793.8934,195.0556,315.0401,2744.5574
11,1602800,4223.3188,818.6085,203.2159,330.7175,2870.777
11,1603000,4148.9946,811.3194,193.0373,314.0502,2830.5877
12,1603200,4182.7323,810.0686,201.0029,319.6386,2852.0223
13,1603400,4150.0514,807.3048,191.6339,310.8674,2840.2453
14,1603600,4083.0181,796.9209,186.9534,295.8742,2803.2696
15,1603800,4171.948,814.5667,189.6118,305.2116,2862.5578
15,1604000,4089.799,796.3882,188.4585,296.6939,2808.2585
16,1604200,4076.8878,794.8374,185.6929,292.3347,2804.0229
17,1604400,4046.639,792.8314,180.3232,292.0679,2781.4166
18,1604600,4074.8903,792.0834,182.2559,291.7209,2808.8301
19,1604800,4098.0672,803.8716,181.5401,290.678,2821.9775
19,1605000,4050.7082,790.1707,177.4768,279.2395,2803.8212
20,1605200,4085.8595,799.0432,179.9654,288.1394,2818.7115
21,1605400,4053.8286,794.2687,178.0646,288.0462,2793.4491
22,1605600,4109.1494,800.0859,175.9997,280.2802,2852.7836
23,1605800,3982.8991,783.8622,171.0406,269.8831,2758.1133
23,1606000,4073.0233,798.3724,172.4705,275.1237,2827.0567
24,1606200,4036.3791,790.0893,171.3937,270.7529,2804.1431
25,1606400,4094.7274,806.0577,172.4562,272.9379,2843.2757
26,1606600,4007.694,786.0151,164.9016,265.0623,2791.7151
27,1606800,4007.9859,785.0171,173.2058,268.4122,2781.3508
27,1607000,4041.4826,793.6011,167.0461,260.6531,2820.1824
28,1607200,3962.6991,781.5155,165.2227,260.1118,2755.8491
29,1607400,4000.5968,784.2939,163.3908,255.4068,2797.5053
30,1607600,4021.4716,793.6571,166.0424,263.2132,2798.5589
31,1607800,3950.247,774.9232,161.397,253.97,2759.9569
31,1608000,3971.4868,782.221,163.6578,254.9241,2770.6839
32,1608200,3979.1705,781.7873,162.1364,249.2198,2786.027
33,1608400,4021.5754,794.3302,159.2357,254.7008,2813.3088
34,1608600,3964.3651,782.6381,158.6654,252.4835,2770.5782
