Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,1600200,5553.0088,993.2353,363.883,564.2008,3631.6897
1,1600400,5064.735,938.2567,306.0287,479.3934,3341.0563
2,1600600,4968.3341,924.7824,293.9972,450.6173,3298.9372
3,1600800,4858.5187,919.1061,284.4344,446.7397,3208.2385
3,1601000,4753.2451,914.8528,286.9361,439.6659,3111.7904
4,1601200,4695.8922,907.7368,276.3198,428.9723,3082.8633
5,1601400,4648.4429,911.5491,280.9827,418.6393,3037.2719
6,1601600,4702.2811,913.3502,281.1215,425.1373,3082.6722
7,1601800,4632.7614,902.9566,276.2388,419.5275,3034.0385
7,1602000,4663.5873,914.0295,278.1581,418.1862,3053.2135
8,1602200,4655.3371,911.9854,274.9723,412.2229,3056.1566
9,1602400,4594.2211,898.4068,269.6147,403.1274,3023.0722
10,1602600,4633.7733,911.1792,271.9299,409.9629,3040.7013
11,1602800,4636.8582,908.1601,270.9404,405.7113,3052.0464
11,1603000,4564.3839,892.7526,265.5118,404.0075,3002.112
12,1603200,4511.0773,884.5339,260.5913,389.4911,2976.4611
13,1603400,4507.4661,893.4782,255.6388,388.8517,2969.4974
14,1603600,4501.735,875.5091,271.0619,401.2752,2953.8888
15,1603800,4571.7548,898.5335,256.4696,389.0408,3027.7109
15,1604000,4449.4475,870.9553,252.5492,383.3823,2942.5607
16,1604200,4482.4058,882.2475,258.4742,385.3715,2956.3125
17,1604400,4497.4028,876.0156,256.524,391.9009,2972.9622
18,1604600,4431.1349,873.2897,251.8733,376.8357,2929.1363
19,1604800,4537.7345,890.4828,255.3867,384.2829,3007.5821
19,1605000,4522.5378,884.1538,255.9212,387.6542,2994.8086
20,1605200,4430.2125,869.3119,244.3052,369.7501,2946.8454
21,1605400,4480.7465,877.3908,250.7339,377.2795,2975.3422
22,1605600,4454.7473,873.4962,250.2323,384.3236,2946.6952
23,1605800,4551.1731,893.6392,254.6282,385.1641,3017.7417
23,1606000,4453.1104,872.968,246.6889,376.375,2957.0784
24,1606200,4422.4453,865.9335,248.4247,379.5317,2928.5554
25,1606400,4486.0712,877.2342,246.1008,373.4275,2989.3086
