Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,1600200,5133.6124,1024.0222,408.7415,701.0412,2999.8076
1,1600400,5014.1625,1008.8867,382.3108,639.2245,2983.7405
2,1600600,5008.3058,1004.8737,367.8165,611.8029,3023.8127
3,1600800,4943.2926,993.2684,367.6155,586.3165,2996.0922
3,1601000,4904.5403,987.1341,349.52,562.6247,3005.2615
4,1601200,4837.8787,976.9966,335.3359,543.7035,2981.8427
5,1601400,4819.5646,980.248,337.4421,532.9853,2968.8892
6,1601600,4752.1641,957.5317,321.2597,516.3547,2957.0181
7,1601800,4838.9356,973.9809,335.1383,521.7683,3008.0482
7,1602000,4723.9637,955.7786,316.9623,503.4802,2947.7426
8,1602200,4753.6937,960.6517,317.1677,504.5749,2971.2994
9,1602400,4860.1873,973.9421,326.8768,514.7042,3044.6642
10,1602600,4590.2938,926.2172,307.2283,484.0053,2872.843
11,1602800,4750.8497,960.1753,311.5783,492.8855,2986.2107
11,1603000,4766.144,958.2776,310.6032,490.2584,3007.0048
12,1603200,4698.365,939.1378,306.5674,483.4162,2969.2437
13,1603400,4611.4269,934.8188,295.0136,478.96,2902.6345
14,1603600,4750.8674,953.0719,305.3033,480.1085,3012.3838
15,1603800,4717.2546,943.4824,312.3418,485.2612,2976.1692
15,1604000,4674.3994,937.0062,300.9976,477.0537,2959.3419
16,1604200,4659.2167,937.1506,290.1281,465.5554,2966.3826
17,1604400,4621.9518,919.1548,305.4138,477.8321,2919.5511
18,1604600,4684.7997,934.6085,297.2931,475.1986,2977.6995
19,1604800,4646.3118,935.4214,290.5805,459.4276,2960.8823
19,1605000,4633.106,924.9977,294.4365,466.3976,2947.2741
20,1605200,4564.981,909.8296,289.62,459.6906,2905.8408
21,1605400,4626.334,924.7196,292.842,462.7119,2946.0605
22,1605600,4645.4748,925.613,290.7174,462.07,2967.0743
23,1605800,4695.2799,936.3544,291.5016,467.5519,2999.8719
23,1606000,4566.2531,907.7713,285.8138,454.3834,2918.2845
24,1606200,4543.872,907.6429,281.8273,445.0884,2909.3133
25,1606400,4624.0309,921.7445,288.8368,457.5103,2955.9393
26,1606600,4631.2576,921.7005,283.3102,454.8327,2971.4141
27,1606800,4627.7286,923.6532,285.2637,455.7895,2963.0221
27,1607000,4580.7267,909.5532,288.0915,455.1209,2927.9612
28,1607200,4656.0697,923.002,286.7761,454.8456,2991.4459
29,1607400,4560.4669,904.6712,285.5277,452.8257,2917.4423
30,1607600,4644.1989,924.8825,281.9311,454.0495,2983.3358
31,1607800,4546.0969,906.8345,280.91,445.5421,2912.8103
31,1608000,4606.4118,911.7995,284.9276,450.3925,2959.2921
32,1608200,4512.7002,897.6427,275.6463,439.2787,2900.1325
33,1608400,4543.9526,904.7627,278.7865,440.4553,2919.9481
34,1608600,4593.755,911.4863,278.0796,444.5916,2959.5975
35,1608800,4623.973,912.9425,285.3587,452.7837,2972.888
35,1609000,4497.8263,890.3714,275.3239,435.9675,2896.1635
36,1609200,4603.3667,910.4334,287.3849,448.8482,2956.7001
37,1609400,4452.1334,887.5516,258.1802,430.7669,2875.6347
38,1609600,4596.2478,909.1518,287.4726,448.9836,2950.6398
38,1609800,4493.1577,888.2145,270.386,434.2166,2900.3406
39,1610000,4633.8033,918.6326,279.1439,446.1104,2989.9164
40,1610200,4560.7074,900.7351,277.8158,446.0669,2936.0897
41,1610400,4531.3338,895.2267,275.4494,432.4793,2928.1784
42,1610600,4547.3783,899.9253,277.4589,439.5308,2930.4633
42,1610800,4546.0073,900.4964,269.309,433.7904,2942.4115
43,1611000,4557.563,895.8553,275.675,436.595,2949.4377
44,1611200,4469.8651,889.1156,266.9249,430.3303,2883.4944
45,1611400,4583.7535,903.6354,279.0303,439.5596,2961.5282
46,1611600,4535.9215,890.4175,274.3188,438.3012,2932.8839
46,1611800,4559.494,903.2678,271.7191,432.7143,2951.7929
47,1612000,4509.2947,889.7257,269.8342,425.6751,2924.0596
48,1612200,4529.6424,895.5534,271.7048,433.9967,2928.3876
49,1612400,4550.4604,890.391,267.2927,430.5963,2962.1804
50,1612600,4472.2675,884.5812,271.9147,435.0087,2880.7629
50,1612800,4513.0403,890.5668,265.4546,423.9043,2933.1146
51,1613000,4513.3879,889.4661,270.3787,429.1782,2924.3649
52,1613200,4607.9033,901.9065,276.6597,441.6786,2987.6585
53,1613400,4497.4384,892.2622,268.0893,427.2265,2909.8602
54,1613600,4587.055,903.3659,273.4317,436.0108,2974.2467
54,1613800,4435.9255,873.9757,263.7085,419.9473,2878.2939
55,1614000,4581.6432,904.1984,270.0888,432.2737,2975.0823
56,1614200,4514.6634,886.5444,265.2096,423.6275,2939.282
57,1614400,4527.3376,887.0322,278.717,435.7217,2925.8667
58,1614600,4492.766,884.3804,259.5707,422.3899,2926.425
58,1614800,4473.4331,883.4034,264.6267,420.9822,2904.4208
59,1615000,4492.9132,887.9069,267.1754,429.3018,2908.5292
60,1615200,4502.6509,882.2886,265.9215,423.6425,2930.7983
61,1615400,4497.0458,889.8426,263.0416,420.076,2924.0856
62,1615600,4446.2795,873.0135,263.9041,422.85,2886.5119
62,1615800,4461.599,881.9799,260.5321,418.5271,2900.5599
63,1616000,4472.1358,875.8872,264.7194,421.528,2910.0012
64,1616200,4581.1347,905.9476,267.2246,429.9328,2978.0298
65,1616400,4479.301,872.4559,269.9693,420.4465,2916.4293
66,1616600,4549.5574,897.337,266.9685,426.6502,2958.6017
66,1616800,4530.5798,886.7347,267.2417,428.3137,2948.2896
67,1617000,4559.5798,901.7972,266.364,425.7979,2965.6207
68,1617200,4447.5221,867.6859,267.0862,419.1931,2893.5569
69,1617400,4480.252,880.0567,256.4919,417.4972,2926.2061
70,1617600,4489.0551,885.7116,258.024,415.1176,2930.202
70,1617800,4524.2987,886.0644,268.9562,428.8955,2940.3826
71,1618000,4470.5267,878.735,257.5968,415.8276,2918.3673
72,1618200,4462.1625,879.1092,260.0497,419.7406,2903.263
73,1618400,4521.4179,885.1645,267.2131,417.8285,2951.2117
74,1618600,4498.4471,887.0174,259.3806,417.8389,2934.2102
74,1618800,4505.568,884.9589,264.5201,419.6104,2936.4785
75,1619000,4381.0791,859.8127,259.2526,413.4861,2848.5276
76,1619200,4403.4846,868.6411,246.7953,401.2263,2886.8218
77,1619400,4466.0873,870.7037,268.1911,427.2455,2899.947
78,1619600,4506.2448,887.3829,256.3691,412.5058,2949.9869
78,1619800,4450.0338,874.8988,259.5905,416.9157,2898.6288
79,1620000,4486.2482,876.8713,261.3714,410.5923,2937.4132
80,1620200,4400.1152,871.3169,253.4087,413.1608,2862.2289
81,1620400,4500.9788,877.9922,259.2307,412.5888,2951.1671
82,1620600,4389.6141,860.9463,255.7732,410.2603,2862.6343
82,1620800,4449.2113,872.2918,255.539,409.7787,2911.6018
83,1621000,4435.1441,872.2229,255.3696,409.2353,2898.3163
84,1621200,4433.5488,870.6869,258.2192,408.7189,2895.9239
85,1621400,4424.7167,868.9716,256.0047,417.6368,2882.1037
86,1621600,4492.171,880.2293,259.3576,412.3423,2940.2417
86,1621800,4457.6881,874.3079,255.575,409.5425,2918.2626
87,1622000,4492.5639,878.6005,258.5586,415.652,2939.7528
88,1622200,4496.0655,881.6236,262.3446,415.9594,2936.138
89,1622400,4427.1782,874.5241,251.746,402.5156,2898.3925
90,1622600,4470.5097,870.8095,258.6336,415.6226,2925.444
90,1622800,4450.825,874.631,257.2901,411.0734,2907.8305
91,1623000,4512.6498,884.2926,250.8138,414.8464,2962.697
92,1623200,4348.0014,859.0065,250.9369,396.9778,2841.0802
93,1623400,4530.3428,880.7923,268.4803,426.1856,2954.8845
93,1623600,4426.2664,868.5538,251.2693,406.7897,2899.6536
94,1623800,4417.2222,866.5023,253.505,410.1752,2887.0398
95,1624000,4496.662,876.9546,256.3961,409.0336,2954.2778
96,1624200,4369.0301,856.1257,252.2551,401.4475,2859.2017
97,1624400,4429.6699,870.7674,251.7025,407.5129,2899.6871
97,1624600,4432.2408,865.1189,254.9655,404.2901,2907.8663
98,1624800,4489.0906,875.3868,255.9754,412.7558,2944.9725
99,1625000,4474.9283,879.0463,260.9995,418.277,2916.6056
100,1625200,4454.5391,869.299,254.3659,403.4578,2927.4164
101,1625400,4416.5225,861.5713,250.917,405.2623,2898.7719
101,1625600,4372.8496,861.054,248.6544,400.6159,2862.5253
102,1625800,4437.4812,866.4185,254.8852,409.93,2906.2475
103,1626000,4376.4185,854.4426,253.2122,400.3451,2868.4185
104,1626200,4489.6256,884.7322,249.6671,405.6637,2949.5626
105,1626400,4373.9947,853.4778,253.6862,400.5319,2866.2988
105,1626600,4412.6219,865.602,248.6843,402.4687,2895.8669
106,1626800,4422.5891,863.3026,251.1276,404.3369,2903.8219
107,1627000,4404.5613,863.3866,253.6053,407.5684,2880.001
108,1627200,4485.5168,875.6952,252.4366,402.2357,2955.1493
109,1627400,4411.7337,864.8627,252.7022,404.2137,2889.9551
109,1627600,4396.1952,856.4798,252.328,405.6516,2881.7359
110,1627800,4463.8732,870.7642,255.7861,409.4868,2927.8361
111,1628000,4466.5239,872.165,253.0625,401.7443,2939.5521
112,1628200,4382.545,859.0273,250.0753,400.0713,2873.3711
113,1628400,4412.2553,861.1112,250.1545,404.0965,2896.8932
113,1628600,4468.3852,874.1896,253.0327,406.0036,2935.1592
114,1628800,4456.5357,874.9696,249.8677,406.5648,2925.1336
115,1629000,4377.7438,855.4253,255.0829,401.3738,2865.8617
116,1629200,4425.9063,865.495,245.9638,398.7171,2915.7304
117,1629400,4476.8477,874.1221,254.6162,409.8083,2938.301
117,1629600,4473.8928,872.3525,256.6447,405.6836,2939.212
118,1629800,4435.3023,866.4645,253.2266,405.069,2910.5421
119,1630000,4440.6976,872.3023,243.7576,395.5632,2929.0745
120,1630200,4458.7591,871.7998,250.9693,405.113,2930.8769
121,1630400,4359.2857,850.8174,249.4937,398.823,2860.1515
121,1630600,4420.2826,863.3387,250.2227,401.3593,2905.3619
122,1630800,4383.0842,860.6075,245.0413,394.4921,2882.9432
123,1631000,4479.8015,870.5955,252.3826,404.1562,2952.6673
124,1631200,4328.3015,843.7085,246.0063,393.6476,2844.9391
125,1631400,4398.7668,861.8168,246.9965,399.829,2890.1245
125,1631600,4452.1046,870.0854,251.5684,401.3873,2929.0635
126,1631800,4358.7339,850.7728,243.7793,399.6206,2864.5613
127,1632000,4432.6239,869.8805,245.2424,393.2796,2924.2214
128,1632200,4435.1533,865.2226,256.9906,410.9829,2901.9572
129,1632400,4381.1335,855.3149,245.0048,393.8799,2886.9339
129,1632600,4455.5822,870.8474,247.9007,398.2848,2938.5493
130,1632800,4388.4572,856.892,248.1586,399.7635,2883.643
131,1633000,4391.0421,860.1281,243.3269,391.6092,2895.9779
132,1633200,4440.9349,865.6496,254.7827,404.3694,2916.1332
133,1633400,4366.4931,852.7342,243.2458,393.1932,2877.3199
133,1633600,4435.3431,867.7176,249.2843,403.182,2915.1591
134,1633800,4425.6486,858.1137,248.3407,398.8073,2920.3869
135,1634000,4334.1995,852.1143,241.0199,384.7758,2856.2895
136,1634200,4352.6166,852.2624,241.0886,386.6264,2872.6392
137,1634400,4478.2957,870.0188,254.0695,405.8743,2948.3332
137,1634600,4377.1967,855.6002,247.2007,394.6604,2879.7353
138,1634800,4400.9482,862.0846,241.1142,394.4437,2903.3058
139,1635000,4364.7841,844.222,245.7016,390.015,2884.8455
140,1635200,4361.3698,850.3705,247.8923,398.1625,2864.9446
141,1635400,4393.6405,860.5937,245.2305,391.458,2896.3583
141,1635600,4411.3085,861.0514,250.4025,394.617,2905.2376
142,1635800,4402.734,858.6197,245.5271,394.5218,2904.0655
143,1636000,4446.7457,868.3489,242.6051,395.1333,2940.6584
144,1636200,4331.3912,843.6407,243.4129,391.1913,2853.1463
144,1636400,4322.8352,845.6485,241.0991,384.2964,2851.7912
145,1636600,4391.5621,859.7554,240.58,389.514,2901.7128
146,1636800,4464.4057,868.3646,253.6971,405.0074,2937.3365
147,1637000,4290.7346,830.4529,239.9089,380.2835,2840.0894
148,1637200,4445.7354,871.4999,245.2467,397.4128,2931.5761
148,1637400,4424.5846,861.5163,247.8837,394.4901,2920.6944
149,1637600,4400.9561,851.446,246.8538,394.7833,2907.873
150,1637800,4325.6224,847.0429,241.7385,384.7804,2852.0605
151,1638000,4400.8785,858.8775,244.6465,393.4064,2903.9481
152,1638200,4399.4616,862.986,245.3141,393.6182,2897.5433
152,1638400,4381.3128,850.963,241.3057,392.4333,2896.6108
153,1638600,4306.6426,844.067,234.5592,374.4971,2853.5194
154,1638800,4434.8478,858.3521,251.775,402.0061,2922.7146
155,1639000,4413.6336,867.7441,241.7647,393.532,2910.5929
156,1639200,4454.7181,864.4778,247.9007,396.958,2945.3816
156,1639400,4366.6684,848.2278,241.3489,390.0763,2887.0154
157,1639600,4356.4417,849.6078,240.6629,387.7602,2878.4107
158,1639800,4380.7127,855.6471,241.4225,387.8445,2895.7986
159,1640000,4358.2312,850.188,238.7303,385.2565,2884.0565
160,1640200,4421.2776,860.8974,244.9726,391.5159,2923.8916
160,1640400,4362.7062,850.3764,241.0033,384.4235,2886.9031
