Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,200,6613.0951,2078.3865,357.7066,551.5341,3625.468
1,400,6223.7054,1792.3028,329.2071,535.5822,3566.6131
2,600,5925.3303,1633.1905,307.258,496.1924,3488.6894
3,800,5616.9962,1470.0417,298.8802,485.5589,3362.5154
4,1000,5596.1524,1403.0732,294.495,476.9322,3421.6519
4,1200,5453.8455,1342.0933,284.7693,469.4041,3357.5788
5,1400,5319.3352,1270.9221,278.9128,450.1962,3319.3041
6,1600,5346.1986,1265.2115,284.246,453.4357,3343.3053
7,1800,5112.6785,1192.2821,261.5345,430.544,3228.3179
7,2000,5197.245,1195.4848,271.6644,441.4105,3288.6854
8,2200,5187.8338,1180.0677,267.9331,438.7554,3301.0775
9,2400,5107.516,1147.7329,263.6326,424.5527,3271.5979
10,2600,5009.7508,1114.1213,253.4158,417.9087,3224.3049
11,2800,4907.487,1087.7634,250.3527,402.0135,3167.3574
11,3000,5020.313,1100.4798,256.6832,417.8815,3245.2685
12,3200,4940.6427,1081.0753,242.2276,399.1786,3218.1612
13,3400,4885.2382,1059.1924,248.9528,404.8633,3172.2297
14,3600,4985.9746,1075.6068,251.1366,415.8615,3243.3698
15,3800,4837.3202,1036.7941,243.1518,395.4777,3161.8966
15,4000,4849.2471,1035.9269,242.6723,398.5724,3172.0755
16,4200,4808.8471,1021.809,239.9755,388.264,3158.7986
17,4400,4819.5418,1014.1748,239.5494,394.681,3171.1367
18,4600,4764.5559,1005.783,229.9452,381.723,3147.1047
19,4800,4861.0346,1016.1646,242.872,392.1393,3209.8586
19,5000,4855.7021,1016.7564,237.8626,391.21,3209.8732
20,5200,4687.2284,977.2306,224.6297,373.9193,3111.4488
21,5400,4811.3649,994.2304,230.1564,379.3351,3207.643
22,5600,4656.8083,970.1542,224.8564,370.5041,3091.2936
23,5800,4781.2092,983.3321,230.6189,381.4395,3185.8188
23,6000,4768.9902,979.9973,230.5573,371.6928,3186.7428
24,6200,4682.0958,958.5955,222.1328,367.2138,3134.1537
25,6400,4611.8659,946.2425,218.5892,356.7209,3090.3134
26,6600,4700.8914,959.4667,220.5185,364.6775,3156.2286
27,6800,4621.5954,941.5004,217.9821,357.8981,3104.2148
27,7000,4596.5763,937.2495,216.2398,351.4557,3091.6312
28,7200,4678.3584,944.7425,218.3204,361.9594,3153.3362
29,7400,4533.3337,920.3647,216.2502,351.2615,3045.4574
30,7600,4654.5587,946.3261,215.2411,357.7479,3135.2436
31,7800,4632.8008,926.056,214.6802,351.7376,3140.3271
31,8000,4587.6756,923.0678,213.9613,352.1739,3098.4726
32,8200,4644.3857,935.7566,209.0159,347.901,3151.7122
33,8400,4478.7188,898.087,205.6954,336.6512,3038.2852
34,8600,4586.2741,917.1835,210.1285,342.2208,3116.7413
35,8800,4567.2,914.6039,208.6367,342.7658,3101.1936
35,9000,4535.2553,903.7518,206.4181,338.4963,3086.5891
36,9200,4523.6084,899.2143,204.5477,332.6947,3087.1517
37,9400,4524.1684,908.5233,201.7308,330.8024,3083.112
38,9600,4522.852,896.4766,201.1428,325.7553,3099.4773
39,9800,4486.2545,893.6061,203.4669,331.5804,3057.6011
39,10000,4439.0332,881.259,195.87,326.4241,3035.4801
40,10200,4437.6003,877.2959,196.1216,323.9089,3040.2738
41,10400,4442.3162,878.9527,198.3822,320.5073,3044.4739
42,10600,4517.8209,891.9501,196.7194,323.5752,3105.5763
43,10800,4425.0412,875.6058,197.6365,325.9552,3025.8436
43,11000,4428.7991,875.187,193.2152,317.2255,3043.1715
44,11200,4444.6519,872.0769,190.8584,312.2942,3069.4225
45,11400,4410.1186,870.6836,199.4913,320.3923,3019.5513
46,11600,4434.7473,871.8275,186.5173,309.4493,3066.9532
47,11800,4383.0207,860.9356,193.5381,315.2429,3013.3041
47,12000,4402.097,864.2478,187.7345,304.1829,3045.9318
48,12200,4373.7666,857.8406,188.1923,309.6778,3018.0559
49,12400,4447.8201,873.9702,192.3724,312.0952,3069.3823
50,12600,4288.0495,844.3627,178.4406,295.8793,2969.3669
51,12800,4335.865,845.3168,185.2037,306.0067,2999.3378
51,13000,4308.8494,842.8597,186.2954,300.8969,2978.7973
52,13200,4334.9654,846.7814,184.5017,295.6702,3008.0122
53,13400,4338.3116,850.7123,176.9046,290.3497,3020.3451
54,13600,4350.3052,853.384,189.5569,309.6817,2997.6826
55,13800,4376.3353,849.1783,184.8873,302.179,3040.0906
55,14000,4337.0588,844.0922,180.3202,293.4519,3019.1944
56,14200,4357.3878,853.786,180.9879,294.8672,3027.7467
57,14400,4339.2778,840.9321,180.2233,291.4706,3026.6518
58,14600,4372.2017,848.1923,181.3207,291.0118,3051.6769
59,14800,4224.9808,823.19,172.0972,279.5817,2950.1119
59,15000,4332.209,841.1305,179.6092,292.4098,3019.0595
60,15200,4272.8172,830.7375,173.5728,279.7192,2988.7876
61,15400,4245.2697,822.9205,176.1401,285.7329,2960.4761
62,15600,4333.339,841.28,180.6217,293.0634,3018.3739
63,15800,4331.0908,837.9901,176.4067,284.4316,3032.2624
63,16000,4301.9579,834.724,170.1247,277.3783,3019.731
64,16200,4271.3287,828.3665,178.2015,285.6063,2979.1544
65,16400,4288.5476,829.8839,164.4616,264.9533,3029.2487
66,16600,4264.0923,823.6649,176.399,285.16,2978.8684
67,16800,4315.8717,834.0117,174.8951,284.8659,3022.0991
67,17000,4294.2247,827.2942,171.0892,274.2183,3021.623
68,17200,4292.4701,831.9227,172.7918,279.9525,3007.803
69,17400,4230.9175,815.4216,167.1804,268.5071,2979.8084
70,17600,4321.761,833.8455,174.2816,285.2664,3028.3676
71,17800,4167.3014,805.9657,162.1125,262.5326,2936.6906
71,18000,4237.1376,817.628,166.5909,268.9647,2983.9541
72,18200,4213.7222,814.137,163.4372,262.8404,2973.3075
73,18400,4235.1903,816.6056,166.8794,268.7031,2983.0021
74,18600,4209.3621,809.5803,161.7092,265.8387,2972.2339
74,18800,4208.1145,811.0727,164.0241,263.6259,2969.3917
75,19000,4180.3435,803.4675,161.2654,258.0468,2957.5637
76,19200,4287.3123,822.5031,166.0108,270.5642,3028.2343
77,19400,4200.9534,811.1011,160.1998,256.6129,2973.0395
78,19600,4216.4591,811.2803,158.5427,254.5025,2992.1337
79,19800,4229.5551,813.7955,166.6337,265.9609,2983.1651
79,20000,4188.5996,807.2663,162.6518,260.7183,2957.9632
80,20200,4205.954,804.7338,161.7656,258.4084,2981.0463
81,20400,4132.5151,799.646,155.4098,252.4649,2924.9944
82,20600,4222.161,809.7673,158.4924,256.4175,2997.4839
82,20800,4174.7024,800.6659,160.3732,259.2602,2954.4032
83,21000,4132.8093,795.817,155.8757,251.6065,2929.5102
84,21200,4103.3797,787.0996,151.1725,245.1102,2919.9973
85,21400,4164.5489,798.9114,158.2018,255.9881,2951.4476
86,21600,4150.5659,798.3559,158.8789,247.9812,2945.3498
86,21800,4204.3404,802.2101,158.021,254.8042,2989.3052
87,22000,4139.0075,789.6162,155.7909,250.453,2943.1473
88,22200,4139.9362,796.0777,149.6517,240.1686,2954.0381
89,22400,4188.5891,804.238,155.7029,251.8266,2976.8215
90,22600,4114.478,786.4325,153.2381,244.7955,2930.0119
90,22800,4126.569,792.7097,151.3375,244.7926,2937.7292
91,23000,4037.8794,771.1918,149.7388,240.7058,2876.243
92,23200,4179.4238,801.4596,151.1543,243.8443,2982.9656
93,23400,4133.491,789.4725,149.8217,238.4452,2955.7516
94,23600,4140.941,792.757,154.9314,245.747,2947.5056
94,23800,4138.1172,790.0005,150.3617,244.2314,2953.5236
95,24000,4131.5368,789.5282,149.9971,238.7169,2953.2946
96,24200,4103.3831,784.8448,144.9053,234.9941,2938.639
97,24400,4089.827,780.5893,149.6842,236.7975,2922.7559
98,24600,4169.4672,800.0043,149.3455,238.9282,2981.1892
98,24800,4081.8004,781.0806,146.4235,234.8647,2919.4316
99,25000,4056.4094,774.9263,144.6422,231.4703,2905.3707
100,25200,4119.8493,789.6225,147.5368,235.0491,2947.6409
101,25400,4104.1158,780.54,148.266,234.2818,2941.028
102,25600,4091.0905,780.6537,143.7291,232.8633,2933.8444
102,25800,4104.7452,785.1093,147.0001,234.0704,2938.5655
103,26000,4009.6,763.5602,142.0091,226.714,2877.3168
104,26200,4116.6919,785.3202,147.6347,230.57,2953.167
105,26400,4120.2801,781.4614,146.1595,233.7833,2958.8759
106,26600,4039.5951,771.6683,141.8313,227.3988,2898.6968
106,26800,4121.1729,787.1855,146.1838,233.4934,2954.3102
107,27000,4023.1653,765.3041,142.5294,227.1588,2888.173
108,27200,4083.859,782.8044,138.0967,222.2713,2940.6867
109,27400,3992.7518,763.0097,141.0172,223.7892,2864.9357
110,27600,4077.6937,771.42,142.9056,226.6602,2936.7078
110,27800,4004.9669,764.9842,136.6748,218.7313,2884.5766
111,28000,4006.4976,763.0161,134.7596,216.0943,2892.6277
112,28200,4047.9497,770.6124,144.3832,226.2949,2906.6592
113,28400,4015.4262,768.0666,136.3896,221.5593,2889.4107
114,28600,4067.2552,773.229,141.2097,222.4142,2930.4023
114,28800,4062.2618,773.5358,138.6307,223.7148,2926.3804
115,29000,4020.4087,766.2498,138.4732,216.0037,2899.682
116,29200,4022.2435,764.7544,134.3361,212.869,2910.2841
117,29400,4053.8048,769.3437,142.5149,225.7693,2916.1769
118,29600,4070.6053,776.1664,138.5036,218.2726,2937.6627
118,29800,4013.5628,764.5192,136.3916,216.0831,2896.5689
119,30000,3956.0627,755.1656,129.5949,204.2227,2867.0794
120,30200,4020.8678,765.6058,135.7983,219.3397,2900.124
121,30400,4002.925,760.6227,133.7313,210.4785,2898.0925
121,30600,4051.6294,772.125,135.2912,216.0989,2928.1142
122,30800,4041.4057,771.798,134.077,213.4346,2922.0961
123,31000,4086.1371,779.0899,135.8094,215.1513,2956.0865
124,31200,3979.3116,760.6903,135.454,218.1409,2865.0264
125,31400,4065.1904,768.5167,133.6904,210.6796,2952.3037
125,31600,3980.5557,760.2609,132.5353,210.5346,2877.2249
126,31800,4024.2498,766.4034,131.3428,205.5873,2920.9164
127,32000,4007.4852,761.4454,131.7793,209.188,2905.0724
128,32200,3981.5042,755.4419,129.0803,204.4791,2892.503
129,32400,4014.053,764.7121,134.0782,207.4246,2907.8382
129,32600,3983.2811,755.1182,131.5608,209.2159,2887.3862
130,32800,3989.6888,761.6939,130.3778,207.1918,2890.4253
131,33000,3952.0023,749.9106,127.7908,202.3143,2871.9865
132,33200,3943.0239,752.4135,128.1779,201.216,2861.2165
133,33400,4020.6865,764.763,127.1451,202.2925,2926.4859
133,33600,3986.862,757.8679,130.195,206.052,2892.7471
134,33800,3939.8296,748.519,132.1509,208.2061,2850.9537
135,34000,3972.4033,758.8283,125.8812,199.7127,2887.9811
136,34200,3946.1175,750.1519,121.9623,192.1943,2881.809
137,34400,3949.7654,750.4241,127.1278,197.8766,2874.337
137,34600,4001.6325,760.5718,128.7333,201.5657,2910.7618
138,34800,3891.6774,738.7653,125.6065,198.8806,2828.4249
139,35000,3969.6685,755.9607,125.205,200.3082,2888.1946
140,35200,3913.5534,744.5852,124.6765,194.306,2849.9857
141,35400,3945.7216,749.9119,127.4761,196.8106,2871.5231
141,35600,3931.494,747.0529,122.5268,192.6229,2869.2914
142,35800,3948.8245,753.1737,123.5326,192.6372,2879.4811
143,36000,3962.871,757.9228,122.8522,192.5534,2889.5426
144,36200,3961.2601,752.6958,122.4308,193.0963,2893.0373
145,36400,4033.3893,763.7057,129.2982,201.9305,2938.455
145,36600,3909.5327,743.4654,122.0335,187.9055,2856.1284
146,36800,3940.986,746.087,125.062,198.1289,2871.7082
147,37000,3897.9969,740.7075,120.3835,188.1505,2848.7554
148,37200,3912.6966,740.3203,125.9812,194.0746,2852.3205
149,37400,4028.2683,766.782,124.8502,195.1426,2941.4935
149,37600,3930.1423,749.5475,117.57,189.3478,2873.677
150,37800,3885.1847,736.686,123.9277,190.2149,2834.3562
