Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,200,5594.5594,2173.1745,258.5165,436.1273,2726.7411
0,400,5124.7224,1853.3839,232.6668,408.8394,2629.8323
0,600,5105.6059,1814.0103,230.2801,408.4753,2652.8402
0,800,4955.5965,1721.0287,221.601,401.4903,2611.4765
0,1000,5150.4503,1770.4363,235.6612,420.8149,2723.5379
0,1200,4926.8215,1674.0644,226.4132,407.5641,2618.7797
0,1400,4886.276,1647.7655,220.7868,399.1536,2618.57
0,1600,4726.8857,1572.1931,220.1061,393.6969,2540.8896
0,1800,4675.7736,1532.8284,218.45,392.1923,2532.3029
0,2000,4576.9914,1494.6327,215.7419,385.0894,2481.5274
0,2200,4688.0154,1523.74,217.2635,387.6265,2559.3854
0,2400,4469.5857,1440.1488,207.4603,369.8226,2452.154
0,2600,4580.8485,1468.7135,214.5584,373.5211,2524.0554
0,2800,4487.3472,1431.6185,214.881,379.0303,2461.8174
0,3000,4533.0369,1444.1159,210.5319,375.6677,2502.7215
0,3200,4510.2341,1429.8041,211.033,374.5773,2494.8197
0,3400,4451.3055,1396.4173,205.3033,368.6855,2480.8994
0,200,6004.5385,2339.2503,276.9935,461.3881,2926.9066
0,400,5624.3721,2064.6574,248.2109,445.6129,2865.8908
0,600,5604.6369,2006.168,251.1661,450.0558,2897.247
0,800,5319.464,1865.9127,242.9964,431.5176,2779.0374
0,1000,5170.3935,1775.548,239.3291,422.0914,2733.425
0,1200,5255.4028,1794.7109,237.6442,423.2154,2799.8323
0,1400,5135.148,1715.807,237.3299,422.5299,2759.4812
0,1600,5130.4985,1702.1648,238.2479,425.4886,2764.5972
0,1800,5105.26,1683.3038,236.2968,420.8487,2764.8107
0,2000,4900.005,1608.9622,228.6832,407.7534,2654.6061
0,2200,5041.298,1643.874,239.4347,430.1208,2727.8685
0,2400,5026.7575,1640.5718,230.7631,414.9918,2740.4308
0,2600,4888.6129,1573.1742,224.8764,400.6296,2689.9326
0,2800,4803.3407,1533.5892,220.1117,397.5967,2652.0431
0,3000,4770.9982,1524.6553,221.0363,393.2296,2632.0769
1,3200,4699.1958,1494.3765,218.8857,391.6096,2594.324
1,3400,4861.2953,1536.1984,228.2235,410.6602,2686.2132
1,3600,4877.4516,1532.3066,228.5205,409.976,2706.6486
1,3800,4866.727,1531.6809,232.5542,414.2583,2688.2335
1,4000,4707.215,1469.4713,222.2301,394.9372,2620.5763
1,4200,4774.5304,1488.9947,231.4217,406.4548,2647.6592
1,4400,4781.8604,1503.7898,220.7488,402.0254,2655.2964
1,4600,4780.8289,1477.4286,227.3823,404.846,2671.1721
1,4800,4639.3514,1433.7417,217.0444,382.5918,2605.9735
1,5000,4766.6387,1474.9899,219.9033,396.7801,2674.9654
1,5200,4621.0036,1419.4749,220.2624,384.4314,2596.8349
1,5400,4664.4951,1443.4383,221.7165,392.7746,2606.5657
1,5600,4605.7207,1421.9268,214.9983,385.8378,2582.9577
1,5800,4649.6929,1406.0419,223.0755,398.5967,2621.9788
1,6000,4646.7709,1420.6418,213.1888,385.219,2627.7213
2,6200,4725.3983,1449.5313,216.4512,387.9156,2671.5002
2,6400,4650.2286,1419.3457,220.4132,394.874,2615.5956
2,6600,4812.7756,1467.1795,226.0338,404.9998,2714.5625
2,6800,4601.9516,1383.4863,217.1451,385.1112,2616.209
2,7000,4594.9923,1377.2644,221.5512,394.2191,2601.9575
2,7200,4461.4067,1335.3346,214.5963,378.2251,2533.2507
2,7400,4479.3028,1353.7637,213.3648,375.7665,2536.4078
2,7600,4640.0023,1396.4363,214.5993,381.7676,2647.1992
2,7800,4562.259,1361.3558,215.4499,386.447,2599.0063
2,8000,4566.7511,1367.0768,219.0424,392.4867,2588.1452
2,8200,4532.2706,1350.3359,219.2473,389.9776,2572.7098
2,8400,4548.9151,1356.4934,217.5835,390.7572,2584.0811
2,8600,4565.2237,1342.6829,223.494,393.2985,2605.7483
2,8800,4403.0733,1318.5055,203.8556,369.0502,2511.6619
2,9000,4508.8103,1341.4213,216.7052,388.6679,2562.0158
3,9200,4433.3075,1312.1051,214.5291,371.0966,2535.5767
3,9400,4599.4018,1357.3235,221.5266,395.4626,2625.089
3,9600,4464.4971,1318.6567,210.8566,376.7227,2558.2611
3,9800,4505.8196,1336.2766,216.787,386.9491,2565.8069
3,10000,4550.7536,1342.0636,220.3003,391.6381,2596.7516
3,10200,4392.9984,1294.5564,208.4552,373.5484,2516.4385
3,10400,4389.8672,1288.2657,203.773,368.2774,2529.5511
3,10600,4459.3368,1303.4954,216.4476,381.5283,2557.8655
3,10800,4384.5031,1287.7874,215.1428,378.9587,2502.6141
3,11000,4513.4833,1320.4016,215.8817,384.2436,2592.9564
3,11200,4542.0499,1337.3579,219.0289,389.2707,2596.3924
3,11400,4343.5328,1261.0436,217.8536,378.2095,2486.426
3,11600,4544.6518,1328.893,215.823,385.0817,2614.8542
3,11800,4471.8712,1307.2386,211.6619,377.5579,2575.4128
3,12000,4485.2054,1305.5541,215.3311,384.5347,2579.7854
3,12200,4381.4584,1268.5067,205.4269,368.5255,2538.9993
4,12400,4244.5129,1226.1519,202.0095,358.8025,2457.549
4,12600,4401.5385,1275.6509,212.7119,375.9784,2537.1973
4,12800,4420.5773,1285.7888,210.8194,378.8462,2545.1228
4,13000,4447.1304,1287.5592,218.2264,384.4501,2556.8947
4,13200,4329.4709,1251.6339,203.5501,362.3174,2511.9695
4,13400,4392.8462,1264.8886,210.6552,376.4179,2540.8846
4,13600,4421.2273,1280.6001,218.5163,388.699,2533.4119
4,13800,4392.1783,1261.851,211.9161,373.7562,2544.6549
4,14000,4342.5245,1239.7171,211.2719,374.4612,2517.0744
4,14200,4288.1964,1233.8825,207.9173,369.4111,2476.9855
4,14400,4351.9354,1252.5989,213.3534,379.3681,2506.6149
4,14600,4396.7923,1263.6015,211.3183,379.8554,2542.0171
4,14800,4296.815,1229.1887,211.4506,372.7719,2483.4038
4,15000,4244.6098,1219.7407,205.2096,365.606,2454.0536
4,15200,4266.2198,1224.2282,208.8001,366.0502,2467.1412
5,15400,4309.7109,1234.1384,205.0147,367.1291,2503.4287
5,15600,4250.8411,1219.6179,198.2255,358.6525,2474.3452
5,15800,4312.6767,1237.1654,209.7473,373.8197,2491.9443
5,16000,4195.2572,1183.8508,203.4287,358.0051,2449.9727
5,16200,4319.6018,1239.7478,207.9074,374.9489,2496.9977
5,16400,4285.5367,1217.8344,213.0247,376.7712,2477.9064
5,16600,4200.347,1197.0291,203.475,363.4751,2436.3678
5,16800,4261.9864,1206.2469,212.2995,372.6021,2470.8379
5,17000,4347.097,1240.8973,210.6289,374.4731,2521.0976
5,17200,4237.8978,1202.9718,205.2576,365.3258,2464.3426
5,17400,4331.8014,1236.1593,209.7662,376.2958,2509.5801
5,17600,4256.4598,1210.0487,205.1191,366.1082,2475.1838
5,17800,4214.179,1188.5191,210.4946,370.1166,2445.0487
5,18000,4234.2853,1193.6421,211.3744,369.4656,2459.8031
5,18200,4270.4154,1203.8409,211.9731,371.6331,2482.9683
6,18400,4230.2025,1193.3738,207.5736,368.5981,2460.657
6,18600,4221.7247,1182.0427,208.412,368.6947,2462.5753
6,18800,4119.9843,1157.4933,198.3417,356.1333,2408.016
6,19000,4166.1796,1176.255,207.5208,360.059,2422.3449
6,19200,4208.5936,1182.3926,206.9337,366.0989,2453.1685
6,19400,4230.3661,1196.3349,210.0024,369.6678,2454.3611
6,19600,4172.2869,1175.2285,202.891,361.4002,2432.7671
6,19800,4176.3004,1179.1043,202.185,358.3713,2436.6398
6,20000,4277.4411,1212.9025,207.3863,373.3809,2483.7714
6,20200,4154.3382,1167.199,203.1606,364.2795,2419.6991
6,20400,4149.1599,1158.9837,199.8818,355.8219,2434.4725
6,20600,4259.5456,1194.2048,214.965,377.1927,2473.183
6,20800,4207.8049,1171.9055,208.3113,367.5447,2460.0433
6,21000,4186.5681,1171.392,206.8925,367.1179,2441.1657
6,21200,4194.2927,1173.1634,199.3645,358.3377,2463.427
6,21400,4163.5921,1171.2854,202.8576,364.4955,2424.9536
7,21600,4156.9756,1150.128,210.2363,365.4507,2431.1606
7,21800,4266.5424,1201.6598,211.6058,375.5023,2477.7745
7,22000,4083.3471,1136.2202,193.323,343.9405,2409.8634
7,22200,4177.9857,1168.3409,210.6267,368.4888,2430.5294
7,22400,4177.7909,1168.5592,201.9914,359.1,2448.1404
7,22600,4233.4923,1190.7231,202.4,360.817,2479.5523
7,22800,4280.67,1197.4631,208.651,373.7465,2500.8094
7,23000,4290.2436,1190.3982,215.2579,380.0392,2504.5483
7,23200,4155.1963,1150.7385,203.5565,360.4566,2440.4446
7,23400,4150.9526,1144.4754,207.5437,367.5294,2431.404
7,23600,4276.2734,1186.8388,207.945,375.1187,2506.3709
7,23800,4101.2793,1137.1892,201.5859,359.331,2403.1732
